id,title,author,genre,isbn,status,rating
123,"Unstoppable Us","Yuval Noah Harari",Non-Fiction,978-0593482933,Available,9.0
122,"Harry Potter and the Goblet of Fire","J.K. Rowling",Fantasy,978-0439139595,Available,10.0
121,Suttree,"Cormac McCarthy",Fiction,978-0679736325,Available,8.0
120,"A Writer's Diary","Fyodor Dostoevsky",Non-Fiction,978-0810125216,Available,8.0
119,"Underground: The Tokyo Gas Attack","Haruki Murakami",Non-Fiction,978-0375725807,Available,8.0
118,"Manual of the Warrior of Light","Paulo Coelho",Non-Fiction,978-0060527983,Available,7.0
117,"Death in the Afternoon","Ernest Hemingway",Non-Fiction,978-0684801452,Available,6.0
116,"The Road to Wigan Pier","George Orwell",Non-Fiction,978-0156777506,Available,7.0
115,"Homage to Catalonia","George Orwell",Non-Fiction,978-0156421171,Available,8.0
114,"The Story of a Shipwrecked Sailor","Gabriel García Márquez",Non-Fiction,978-0679722052,Borrowed,7.0
113,"What Is Art?","Leo Tolstoy",Non-Fiction,978-0140446425,Available,7.0
112,"A Moveable Feast","Ernest Hemingway",Non-Fiction,978-0684824994,Available,9.0
111,"21 Lessons for the 21st Century","Yuval Noah Harari",Non-Fiction,978-0525512172,Available,8.0
110,"Homo Deus","Yuval Noah Harari",Non-Fiction,978-0062464316,Available,9.0
109,Sapiens,"Yuval Noah Harari",Non-Fiction,978-0062316097,Available,10.0
108,Brida,"Paulo Coelho",Fiction,978-0061578953,Available,5.0
107,"Eleven Minutes","Paulo Coelho",Fiction,978-0060589288,Available,6.0
106,"The Alchemist","Paulo Coelho",Fiction,978-0062315007,Available,8.0
105,"Cat's Eye","Margaret Atwood",Fiction,978-0385491020,Available,7.0
104,"Alias Grace","Margaret Atwood",Fiction,978-0385490443,Available,8.0
103,"All the Pretty Horses","Cormac McCarthy",Fiction,978-0679744399,Available,8.0
102,"No Country for Old Men","Cormac McCarthy",Fiction,978-0307387134,Available,8.0
101,"Blood Meridian","Cormac McCarthy",Fiction,978-0679728757,Available,9.0
100,"Colorless Tsukuru Tazaki","Haruki Murakami",Fiction,978-0385352109,Available,7.0
99,1Q84,"Haruki Murakami",Fiction,978-0307593313,Available,8.0
98,"The Wind-Up Bird Chronicle","Haruki Murakami",Fiction,978-0679775430,Available,9.0
97,"Kafka on the Shore","Haruki Murakami",Fiction,978-1400079278,Available,9.0
96,"Norwegian Wood","Haruki Murakami",Fiction,978-0375704079,Available,8.0
95,"Chronicle of a Death Foretold","Gabriel García Márquez",Classic,978-1400034710,Available,8.0
94,"The Autumn of the Patriarch","Gabriel García Márquez",Classic,978-0060882860,Available,7.0
93,"Love in the Time of Cholera","Gabriel García Márquez",Classic,978-0307389732,Available,9.0
92,"One Hundred Years of Solitude","Gabriel García Márquez",Classic,978-0060883287,Available,10.0
91,"The Sun Also Rises","Ernest Hemingway",Classic,978-0684800714,Available,8.0
90,"For Whom the Bell Tolls","Ernest Hemingway",Classic,978-0684803357,Available,9.0
89,"A Farewell to Arms","Ernest Hemingway",Classic,978-0684801469,Available,8.0
88,"The Old Man and the Sea","Ernest Hemingway",Classic,978-0684801223,Available,9.0
87,Resurrection,"Leo Tolstoy",Classic,978-0140446340,Available,7.0
